Brand,Model,Color,Retail_Price,Release_Date,Price_Premium,Avg_Sale_Price,Date_of_Sale,Time_of_Sale,Sneaker_Size,Sale_Price
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",9:46 PM EST,15,$230 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",5:16 PM EST,11,$270 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",3:13 PM EST,10.5,$251 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",3:13 PM EST,10.5,$250 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",2:45 PM EST,8,$279 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",12:24 PM EST,10.5,$350 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",12:01 PM EST,10,$315 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",11:08 AM EST,9,$300 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",10:34 AM EST,10.5,$315 
Air Jordan,Jordan 1 Retro Royal (2017),BLACK/VARSITY ROYAL-WHITE,$160 ,4/1/17,43.80%,$277 ,"Sunday, February 11, 2018",8:58 AM EST,11.5,$295 
